Program,Year,Period,Region,Commodity,Data Item,Domain Category,Value,MOA
SURVEY,1990,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (2,4-D = 30001)",4022000,4
SURVEY,1990,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (2,4-D = 30001)",0.44,4
SURVEY,1990,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (ALACHLOR = 90501)",35995000,15
SURVEY,1990,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (ALACHLOR = 90501)",1.93,15
SURVEY,1990,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (ATRAZINE = 80803)",58125000,5
SURVEY,1990,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (ATRAZINE = 80803)",1.13,5
SURVEY,1990,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (BROMOXYNIL = 35301)",1155000,6
SURVEY,1990,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (BROMOXYNIL = 35301)",0.26,6
SURVEY,1990,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (BUTYLATE = 41405)",14181000,8
SURVEY,1990,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (BUTYLATE = 41405)",3.94,8
SURVEY,1990,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (CYANAZINE = 100101)",23375000,5
SURVEY,1990,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (CYANAZINE = 100101)",1.73,5
SURVEY,1990,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DICAMBA = 29801)",4478000,4
SURVEY,1990,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DICAMBA = 29801)",0.33,4
SURVEY,1990,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (EPTC = 41401)",30581000,8
