Program,Year,Period,Geo Level,State,State ANSI,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,1990,YEAR,STATE,ALABAMA,1,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,470000
SURVEY,1990,YEAR,STATE,ARKANSAS,5,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,3400000
SURVEY,1990,YEAR,STATE,DELAWARE,10,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,200000
SURVEY,1990,YEAR,STATE,FLORIDA,12,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,80000
SURVEY,1990,YEAR,STATE,GEORGIA,13,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,900000
SURVEY,1990,YEAR,STATE,ILLINOIS,17,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,9200000
SURVEY,1990,YEAR,STATE,INDIANA,18,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,4200000
SURVEY,1990,YEAR,STATE,IOWA,19,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,8000000
SURVEY,1990,YEAR,STATE,KANSAS,20,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,2000000
SURVEY,1990,YEAR,STATE,KENTUCKY,21,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,1250000
SURVEY,1990,YEAR,STATE,LOUISIANA,22,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,1800000
SURVEY,1990,YEAR,STATE,MARYLAND,24,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,505000
SURVEY,1990,YEAR,STATE,MICHIGAN,26,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,1150000
SURVEY,1990,YEAR,STATE,MINNESOTA,27,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,4700000
SURVEY,1990,YEAR,STATE,MISSISSIPPI,28,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,2050000
SURVEY,1990,YEAR,STATE,MISSOURI,29,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,4200000
SURVEY,1990,YEAR,STATE,NEBRASKA,31,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,2400000
SURVEY,1990,YEAR,STATE,NEW JERSEY,34,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,110000
SURVEY,1990,YEAR,STATE,NORTH CAROLINA,37,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,1400000
SURVEY,1990,YEAR,STATE,NORTH DAKOTA,38,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,500000
SURVEY,1990,YEAR,STATE,OHIO,39,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,3500000
SURVEY,1990,YEAR,STATE,OKLAHOMA,40,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,250000
SURVEY,1990,YEAR,STATE,PENNSYLVANIA,42,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,280000
