Program,Year,Period,Geo Level,State,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,1990,YEAR,STATE,MINNESOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,2800000
SURVEY,1990,YEAR,STATE,MONTANA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,2800000
SURVEY,1990,YEAR,STATE,NORTH DAKOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,8000000
SURVEY,1990,YEAR,STATE,SOUTH DAKOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,2200000
SURVEY,1991,YEAR,STATE,COLORADO,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,38000
SURVEY,1991,YEAR,STATE,MINNESOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,2100000
SURVEY,1991,YEAR,STATE,MONTANA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,2600000
SURVEY,1991,YEAR,STATE,NORTH DAKOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,7000000
SURVEY,1991,YEAR,STATE,SOUTH DAKOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,1800000
SURVEY,1992,YEAR,STATE,MINNESOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,2800000
SURVEY,1992,YEAR,STATE,MONTANA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,2750000
SURVEY,1992,YEAR,STATE,NORTH DAKOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,9200000
SURVEY,1992,YEAR,STATE,SOUTH DAKOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,2700000
SURVEY,1993,YEAR,STATE,MINNESOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,2700000
SURVEY,1993,YEAR,STATE,MONTANA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,2800000
SURVEY,1993,YEAR,STATE,NORTH DAKOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,9600000
SURVEY,1993,YEAR,STATE,SOUTH DAKOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",TOTAL,NOT SPECIFIED,2200000
