Program,Year,Period,Geo Level,State,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,1990,YEAR,STATE,COLORADO,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,2700000
SURVEY,1990,YEAR,STATE,ILLINOIS,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,2050000
SURVEY,1990,YEAR,STATE,KANSAS,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,12400000
SURVEY,1990,YEAR,STATE,MONTANA,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,2700000
SURVEY,1990,YEAR,STATE,NEBRASKA,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,2450000
SURVEY,1990,YEAR,STATE,OKLAHOMA,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,7400000
SURVEY,1990,YEAR,STATE,SOUTH DAKOTA,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,1850000
SURVEY,1990,YEAR,STATE,TEXAS,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,6700000
SURVEY,1990,YEAR,STATE,WASHINGTON,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,2300000
SURVEY,1991,YEAR,STATE,COLORADO,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,2600000
SURVEY,1991,YEAR,STATE,IDAHO,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,870000
SURVEY,1991,YEAR,STATE,KANSAS,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,11800000
SURVEY,1991,YEAR,STATE,MONTANA,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,2350000
